AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2007,52,3,7,1,4,327040.0,2
2007,52,3,9,1,4,473162.56,1
2007,52,3,11,1,4,300052.61,1
2007,55,3,1,1,3,513356.0,1
2007,55,3,3,1,3,253953.0,1
2007,55,3,4,1,3,1537697.0,2
2007,55,3,6,1,3,1076973.0,1
2007,55,3,7,1,3,811677.0,1
2007,55,3,10,1,3,171200.0,1
2007,55,3,11,1,3,698175.0,1
2007,55,3,12,1,3,419975.0,1
2007,55,3,13,1,3,193242.0,1
2007,56,3,6,1,3,3123266.87,2
2007,56,3,7,1,3,908055.0,2
2007,56,3,9,1,3,710748.0,1
2007,57,3,6,1,3,2199555.0,1
2007,57,3,7,1,4,926597.16,4
2007,57,3,11,1,4,535000.0,3
2007,59,3,6,1,3,1432760.0,3
2007,59,3,7,1,3,1091774.0,3
2007,59,3,8,1,3,220000.0,1
2007,59,3,9,1,3,300000.0,1
2007,59,3,11,1,3,387019.0,2
2007,61,3,6,1,3,541074.0,1
2007,61,3,11,1,3,476029.0,1
2007,63,3,6,1,3,193654.0,1
2007,63,3,6,1,4,590441.0,3
2007,63,3,9,1,4,264290.0,1
2007,63,3,13,1,3,653235.0,1
2007,64,3,4,1,3,683600.0,2
2007,64,3,7,1,3,834470.0,3
2007,64,3,11,1,3,175480.0,1
2007,66,3,3,1,3,418575.0,1
2007,66,3,4,1,3,795010.0,1
2007,66,3,5,1,3,120223.06,1
2007,66,3,6,1,3,4981223.52,3
2007,66,3,7,1,3,1684105.0,3
2007,66,3,8,1,3,400000.0,1
2007,66,3,10,1,3,464027.97,1
2007,66,3,11,1,3,1001355.0,1
2007,66,3,12,1,3,1972641.25,1
2007,66,3,13,1,3,395834.25,1
2007,67,3,6,1,4,497084.55,1
2007,67,3,7,1,4,904977.33,2
2007,67,3,13,1,4,401250.0,1
2007,68,3,6,1,4,383184.12,1
2007,68,3,10,1,4,616815.0,1
2007,69,3,6,1,3,1000000.0,1
2007,70,3,4,1,3,1791180.0,1
2007,70,3,6,1,3,2169318.0,1
2007,70,3,7,1,3,616962.0,2
2007,70,3,9,1,3,149265.0,1
2007,70,3,11,1,3,248775.0,1
2007,71,3,6,1,4,1000022.0,1
2007,71,3,9,1,4,1000000.6,1
2007,73,3,4,1,3,2324361.0,1
2007,73,3,6,1,4,1000000.0,1
2007,73,3,7,1,4,2150000.0,2
2007,73,3,10,1,3,201588.0,1
2007,73,3,11,1,4,509510.0,1
2007,74,3,4,1,3,622468.0,1
2007,74,3,6,1,3,1826151.0,2
2007,74,3,7,1,3,995913.0,2
2007,74,3,8,1,3,481132.0,2
2007,74,3,11,1,3,1881301.0,2
2007,77,3,2,1,3,200000.0,1
2007,77,3,3,1,3,500000.0,1
2007,77,3,4,1,3,4419100.0,1
2007,77,3,6,1,3,3227054.0,2
2007,77,3,7,1,3,945559.0,2
2007,77,3,11,1,3,200000.0,1
2007,77,3,13,1,3,100000.0,1
2007,78,3,4,1,3,520808.0,1
2007,78,3,6,1,3,287955.0,1
2007,78,3,7,1,3,129451.0,2
2007,79,3,6,1,4,219992.0,1
2007,79,3,7,1,3,512551.4,1
2007,79,3,7,1,4,366342.0,2
2007,79,3,10,1,4,49755.0,1
2007,79,3,11,1,3,369150.0,1
