DonorId,FiscalYear,FundType,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
183,2013,CBPF,0,9693053,01-2013,36
183,2013,CBPF,0,14274000,01-2013,87
52,2013,CBPF,0,1849796,01-2014,105
163,2013,CBPF,0,2375422,01-2014,73
162,2013,CBPF,0,12466255,02-2013,27
183,2013,CBPF,0,44410508,02-2013,88
52,2013,CBPF,0,3525860,03-2013,88
63,2013,CBPF,0,3849848,03-2013,87
86,2013,CBPF,0,2576880,03-2013,27
86,2013,CBPF,0,2576880,03-2013,87
86,2013,CBPF,0,1932652,03-2013,88
86,2013,CBPF,0,1932652,03-2013,80
129,2013,CBPF,0,5306235,03-2013,27
162,2013,CBPF,0,14202910,03-2013,88
183,2013,CBPF,0,21219581,03-2013,80
183,2013,CBPF,0,3731343,03-2013,105
13,2013,CBPF,0,2068633,04-2013,27
13,2013,CBPF,0,2068633,04-2013,88
86,2013,CBPF,0,1271970,04-2013,18
86,2013,CBPF,0,255427,04-2013,105
109,2013,CBPF,0,327350,04-2013,27
129,2013,CBPF,0,10264719,04-2013,80
162,2013,CBPF,0,2991851,04-2013,18
162,2013,CBPF,0,13055265,04-2013,80
67,2013,CBPF,0,1289155,05-2013,87
82,2013,CBPF,0,500000,05-2015,91
13,2013,CBPF,0,3810040,06-2013,87
13,2013,CBPF,0,2857530,06-2013,88
67,2013,CBPF,0,391134,06-2013,73
129,2013,CBPF,0,8547008,06-2013,88
162,2013,CBPF,0,7348440,06-2013,87
163,2013,CBPF,0,523012,06-2013,36
163,2013,CBPF,0,532708,06-2013,87
52,2013,CBPF,0,3491698,07-2013,87
52,2013,CBPF,0,3507026,07-2013,88
52,2013,CBPF,0,3513986,07-2013,80
52,2013,CBPF,0,1748863,07-2013,105
86,2013,CBPF,0,1282950,07-2013,88
86,2013,CBPF,0,1282950,07-2013,80
129,2013,CBPF,0,498090,07-2013,22
129,2013,CBPF,0,830151,07-2013,36
158,2013,CBPF,0,651890,07-2013,22
158,2013,CBPF,0,325945,07-2013,45
158,2013,CBPF,0,391134,07-2013,73
162,2013,CBPF,0,596836,07-2013,22
162,2013,CBPF,0,2238137,07-2013,74
